TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
AXP,1997,1997,FY,16836000000,0,16836000000,0.0,0,8356000000,1118000000,9474000000,0,9474000000,0,3175000000,924000000,187000000,3861000000,0.22933000712758375,0,0.0,2750000000,2750000000,0.16334046091708243,759000000,1991000000,0.11825849370396768,1.43,1.383333,1392000000,1437000000
AXP,1996,1996,FY,15121000000,0,15121000000,0.0,0,7652000000,1071000000,8723000000,0,8723000000,0,3289000000,1116000000,266000000,4046000000,0.2675748958402222,0,0.0,2664000000,2664000000,0.1761788241518418,763000000,1901000000,0.12571919846570995,1.3,1.3,1456800000,1461261000
AXP,1995,1995,FY,14599000000,0,14599000000,0.0,0,7581000000,977000000,8558000000,0,8558000000,0,4531000000,1242000000,367000000,3792000000,0.2597438180697308,0,0.0,2183000000,2183000000,0.14953078978012194,619000000,1564000000,0.10713062538530037,1.036667,1.036667,1494000000,1499790000
AXP,1994,1994,FY,13271000000,0,13271000000,0.0,0,6765000000,1063000000,7828000000,0,7828000000,0,4120000000,1011000000,378000000,3313000000,0.24964207670861277,0,0.0,1891000000,1891000000,0.14249114610805516,511000000,1413000000,0.10647276015371863,0.916667,0.916667,1506545455,1533550000
AXP,1993,1993,FY,12390000000,0,12390000000,0.0,0,6487000000,1091000000,7578000000,0,7578000000,0,4914000000,1783000000,411000000,4393000000,0.35456012913640034,0,0.0,2326000000,2326000000,0.1877320419693301,721000000,1478000000,0.11928974979822438,0.78,0.77,1841025641,1864935065
AXP,1992,1992,FY,19312000000,0,19312000000,0.0,0,11559000000,1179000000,12738000000,0,12738000000,0,11380000000,7649000000,660000000,9109500000,0.47170153272576637,0,0.0,775000000,775000000,0.040130488815244406,339000000,461500000,0.02389705882352941,0.3,0.3,1395000000,1395000000
AXP,1991,1991,FY,17511000000,0,17511000000,0.0,0,7582000000,1074000000,8656000000,0,8656000000,0,11490000000,8252000000,753000000,9764000000,0.5575923705099651,0,0.0,759000000,759000000,0.04334418365598766,-30000000,789000000,0.04505739249614528,0.53,0.53,1413207547,1413207547
AXP,1990,1990,FY,15840000000,0,15840000000,0.0,0,8904000000,1032000000,9936000000,0,9936000000,0,10936000000,8492000000,603000000,9663000000,0.6100378787878787,0,0.0,725000000,725000000,0.045770202020202023,387000000,181000000,0.011426767676767677,0.11,0.11,1327272727,1327272727
AXP,1989,1989,FY,15168000000,0,15168000000,0.0,0,8142000000,1079000000,9221000000,0,9221000000,0,11701000000,9879000000,333000000,11739000000,0.7739319620253164,0,0.0,1527000000,1527000000,0.10067246835443038,370000000,1157000000,0.07627900843881856,0.9,0.9,1262222222,1262222222
AXP,1988,1988,FY,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1038000000,0.0,0,0.0,0,0,0.0,0,1038000000,0.0,0.81,0.81,1259259259,1259259259
AXP,1987,1987,FY,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,533000000,0.0,0,0.0,0,0,0.0,0,533000000,0.0,0.4,0.4,1297500000,1297500000
AXP,1986,1986,FY,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1110000000,0.0,0,0.0,0,0,0.0,0,1110000000,0.0,0.82,0.82,1353658537,1353658537
AXP,1985,1985,FY,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,810000000,0.0,0,0.0,0,0,0.0,0,810000000,0.0,0.59,0.59,1372881356,1372881356
